RestaurantID,Brand,CuisineType,Address,City,State,PostalCode,Country,Latitude,Longitude,SourceFile
LOC-003117,Pizza Hut,Pizza,838 S MAIN ST,Kernersville,NC,27284,US,36.111015,-80.089165,Datafiniti_2018
LOC-003118,Pizza Hut,Pizza,1702 GLENDALE DR SW,Wilson,NC,27893,US,35.719981,-77.945795,Datafiniti_2018
LOC-003119,Pizza Hut,Pizza,1405 W BROAD ST,Elizabethtown,NC,28337,US,34.632778,-78.624615,Datafiniti_2018
LOC-003120,McDonald's,Burgers,407 N LAMAR ST,Dallas,TX,75202,US,32.78136,-96.80539,Datafiniti_2018
LOC-003121,Subway,Sandwich,11916 AVIATION BLVD,Inglewood,CA,90304,US,33.924828,-118.378075,Datafiniti_2018
LOC-003122,7-Eleven,Other Fast Food,2529 OAK LAWN AVE,Dallas,TX,75219,US,32.805002,-96.81357,Datafiniti_2018
LOC-003123,El Pollo Regio,Other Fast Food,1440 W WALNUT ST,Garland,TX,75042,US,32.91589,-96.65041,Datafiniti_2018
LOC-003124,Five Guys,Burgers,7005 SW NYBERG RD,Tualatin,OR,97062,US,45.38301771,-122.7480537,Datafiniti_2018
LOC-003125,Baskin-Robbins,Other Fast Food,13435 TELEGRAPH RD,Whittier,CA,90605,US,33.940436,-118.044276,Datafiniti_2018
LOC-003126,Chipotle Mexican Grill,Mexican,10671 INNOVATION DR,Miamisburg,OH,45342,US,39.59723846,-84.2314274,Datafiniti_2018
LOC-003127,Wendy's,Burgers,393 N BROAD ST,Fairborn,OH,45324,US,39.8291,-84.0253,Datafiniti_2018
LOC-003128,McDonald's,Burgers,1232 KAUFFMAN AVE,Fairborn,OH,45324,US,39.80607,-84.03013,Datafiniti_2018
LOC-003129,Little Caesars Pizza,Pizza,11117 SANTA GERTRUDES AVE,Whittier,CA,90604,US,33.932126,-117.992985,Datafiniti_2018
LOC-003130,Taco Bell,Mexican,608 S MAIN ST,Englewood,OH,45322,US,39.86891,-84.29297,Datafiniti_2018
LOC-003131,Wendy's,Burgers,854 S IL ROUTE 59,Bartlett,IL,60103,US,41.97609,-88.20722,Datafiniti_2018
LOC-003132,Subway,Sandwich,6300 KINGS ISLAND DR,Mason,OH,45040,US,39.347,-84.2692,Datafiniti_2018
LOC-003133,Jimmy John's,Sandwich,4356 N ORACLE RD,Tucson,AZ,85705,US,32.285473,-110.977974,Datafiniti_2018
LOC-003134,McDonald's,Burgers,3640 W TANGERINE RD,Marana,AZ,85658,US,32.42455,-111.04289,Datafiniti_2018
LOC-003135,Burger King,Burgers,3915 W COSTCO DR,Tucson,AZ,85741,US,32.32756,-111.04825,Datafiniti_2018
LOC-003136,Domino's Pizza,Pizza,6875 E SUNRISE DR,Tucson,AZ,85750,US,32.3093,-110.84571,Datafiniti_2018
LOC-003137,Farmer Boys,Other Fast Food,641 W REDONDO BEACH BLVD,Gardena,CA,90247,US,33.892612,-118.28677,Datafiniti_2018
LOC-003138,McDonald's,Burgers,2014 STATE ROUTE 53,Fremont,OH,43420,US,41.3735,-83.118,Datafiniti_2018
LOC-003139,Subway,Sandwich,9656 SPRINGBORO PIKE,Miamisburg,OH,45342,US,39.6113,-84.22757,Datafiniti_2018
LOC-003140,KFC,Chicken,7601 N 30TH ST,Omaha,NE,68112,US,41.32942106,-95.95815182,Datafiniti_2018
LOC-003141,Burger King,Burgers,10201 NARCOOSSEE RD,Orlando,FL,32832,US,28.418053,-81.24291,Datafiniti_2018
LOC-003142,McDonald's,Burgers,7015 DETROIT AVE,Cleveland,OH,44102,US,41.482765,-81.733513,Datafiniti_2018
LOC-003143,Chick-fil-A,Chicken,420 HOWE AVE,Cuyahoga Falls,OH,44221,US,41.1188,-81.4799,Datafiniti_2018
LOC-003144,Mr. Gyros Greek Food & Pastry,Other Fast Food,8234 METCALF AVE,Overland Park,KS,66204,US,38.9788,-94.6679,Datafiniti_2018
LOC-003145,Wendy's,Burgers,126 FLIGHT MEMORIAL PKWY,Akron,OH,44333,US,41.13413,-81.64309,Datafiniti_2018
LOC-003146,McDonald's,Burgers,482 HOWE AVE,Cuyahoga Falls,OH,44221,US,41.11846,-81.47697,Datafiniti_2018
LOC-003147,Legends Burgers,Burgers,2420 W ARROW RTE,Upland,CA,91786,US,34.09825813,-117.6987828,Datafiniti_2018
LOC-003148,McDonald's,Burgers,14454 FOOTHILL BLVD,Fontana,CA,92335,US,34.10666,-117.4892,Datafiniti_2018
LOC-003149,McDonald's,Burgers,9141 CENTRAL AVE,Montclair,CA,91763,US,34.08785,-117.68937,Datafiniti_2018
LOC-003150,Sonic Drive-In,Burgers,5392 WALES AVE NW,Massillon,OH,44646,US,40.85935,-81.48511,Datafiniti_2018
LOC-003151,Taco Bell,Mexican,711 LEE RD,Orlando,FL,32810,US,28.608667,-81.39006,Datafiniti_2018
LOC-003152,Subway,Sandwich,29 GRAND AVE,Oakland,CA,94612,US,37.811256,-122.26611,Datafiniti_2018
LOC-003153,In-N-Out Burger,Burgers,15575 HESPERIAN BLVD,San Leandro,CA,94579,US,37.68701,-122.13104,Datafiniti_2018
LOC-003154,Plato's Closet,Other Fast Food,1540 COOPER POINT RD SW,Olympia,WA,98502,US,47.0341,-122.9371,Datafiniti_2018
